"inventoryid","inventorydate","year","month","partid","partname","partcode","partcategory","partdescription","supplierid","suppliername","suppliercity","suppliercountry","supplierrating","warehouseid","warehousename","warehouselocation","warehousecity","quantityonhand","quantityreserved","quantitydamaged","availablequantity","reorderlevel","reorderquantity","leadtimedays","unitcost","totalcost","supplierleadtime","receivedate","invoicenumber","invoiceamount","status","expirydate","storagelocation","laststockupdate","notes"
"INV00000223","2024-04-12",2024,3,"PART000224","Part 224","PC476764","Tool","Essential component Part 224","SUP0044","Supplier 44","Jaipur","India","3.87","WH04","Warehouse 4","West","Jaipur",33898,31033,217,2648,2164,3265,16,"665.53","1762323.44",32,"2024-11-26","INV155020","80827.91","Discontinued","2025-12-23","Rack-56","2024-07-21","Stock level: 33898 units, Supplier rating: 3.87"
"INV00000224","2024-09-25",2024,9,"PART000225","Part 225","PC699442","Packaging","Essential component Part 225","SUP0045","Supplier 45","Mumbai","India","3.56","WH05","Warehouse 5","Central","Mumbai",31760,28275,45,3440,1553,1991,45,"256.1","880984",18,"2024-08-05","INV949467","3009.85","On Order","null","Rack-40","2024-04-25","Stock level: 31760 units, Supplier rating: 3.56"
"INV00000225","2024-01-19",2024,6,"PART000226","Part 226","PC117435","Raw Material","Essential component Part 226","SUP0046","Supplier 46","Delhi","India","4.58","WH06","Warehouse 6","North","Delhi",41325,15373,87,25865,190,11638,9,"262.8","6797322",24,"2024-12-09","INV919629","17195.74","Available","null","Rack-9","2024-02-06","Stock level: 41325 units, Supplier rating: 4.58"
"INV00000226","2024-08-07",2024,8,"PART000227","Part 227","PC174918","Component","Essential component Part 227","SUP0047","Supplier 47","Bangalore","India","4.93","WH07","Warehouse 7","South","Bangalore",4334,2346,453,1535,487,16849,37,"837.89","1286161.15",68,"2024-03-06","INV350776","66857.5","Low Stock","null","Rack-13","2024-03-03","Stock level: 4334 units, Supplier rating: 4.93"
"INV00000227","2024-06-05",2024,11,"PART000228","Part 228","PC282011","Subassembly","Essential component Part 228","SUP0048","Supplier 48","Pune","India","3.72","WH08","Warehouse 8","East","Pune",46101,24551,436,21114,3426,10035,29,"165.79","3500490.06",76,"2024-11-27","INV167927","81855.92","Out of Stock","null","Rack-18","2024-01-05","Stock level: 46101 units, Supplier rating: 3.72"
"INV00000228","2024-09-02",2024,1,"PART000229","Part 229","PC827609","Tool","Essential component Part 229","SUP0049","Supplier 49","Hyderabad","India","2.78","WH09","Warehouse 9","West","Hyderabad",42371,8176,113,34082,929,3434,14,"591.27","20151664.14",48,"2024-09-24","INV408422","94862.83","Discontinued","null","Rack-20","2024-07-10","Stock level: 42371 units, Supplier rating: 2.78"
"INV00000229","2024-10-18",2024,12,"PART000230","Part 230","PC132234","Packaging","Essential component Part 230","SUP0050","Supplier 50","Chennai","India","2.7","WH10","Warehouse 10","Central","Chennai",1340,547,486,307,1805,18256,32,"289.36","88833.52",30,"2024-02-04","INV787576","11430.69","On Order","null","Rack-57","2024-10-18","Stock level: 1340 units, Supplier rating: 2.7"
"INV00000230","2024-07-15",2024,8,"PART000231","Part 231","PC435086","Raw Material","Essential component Part 231","SUP0051","Supplier 51","Kolkata","India","2.96","WH01","Warehouse 1","North","Kolkata",13714,11178,194,2342,348,11564,44,"697.96","1634622.32",54,"2024-01-21","INV943004","16415.75","Available","2025-09-02","Rack-25","2024-04-13","Stock level: 13714 units, Supplier rating: 2.96"
"INV00000231","2024-10-01",2024,7,"PART000232","Part 232","PC969351","Component","Essential component Part 232","SUP0052","Supplier 52","Jaipur","India","3.63","WH02","Warehouse 2","South","Jaipur",40040,21681,22,18337,4848,5739,48,"60.03","1100770.11",38,"2024-02-21","INV967003","22715.61","Low Stock","null","Rack-91","2024-04-17","Stock level: 40040 units, Supplier rating: 3.63"
"INV00000232","2024-05-13",2024,4,"PART000233","Part 233","PC374459","Subassembly","Essential component Part 233","SUP0053","Supplier 53","Mumbai","India","2.4","WH03","Warehouse 3","East","Mumbai",31870,2525,97,29248,1598,1405,19,"228.16","6673223.68",69,"2024-04-19","INV899035","86182.75","Out of Stock","2025-10-07","Rack-67","2024-12-16","Stock level: 31870 units, Supplier rating: 2.4"
"INV00000233","2024-03-28",2024,10,"PART000234","Part 234","PC730107","Tool","Essential component Part 234","SUP0054","Supplier 54","Delhi","India","3.22","WH04","Warehouse 4","West","Delhi",41534,567,364,40603,531,12553,35,"900.88","36578430.64",39,"2024-12-06","INV942168","66965.38","Discontinued","null","Rack-82","2024-12-23","Stock level: 41534 units, Supplier rating: 3.22"
"INV00000234","2024-06-24",2024,8,"PART000235","Part 235","PC867006","Packaging","Essential component Part 235","SUP0055","Supplier 55","Bangalore","India","3.33","WH05","Warehouse 5","Central","Bangalore",47130,45388,168,1574,3550,2395,20,"942.61","1483668.14",78,"2024-11-06","INV609953","92634.58","On Order","null","Rack-85","2024-10-12","Stock level: 47130 units, Supplier rating: 3.33"
"INV00000235","2024-03-14",2024,6,"PART000236","Part 236","PC233849","Raw Material","Essential component Part 236","SUP0056","Supplier 56","Pune","India","4.94","WH06","Warehouse 6","North","Pune",5064,4187,228,649,223,11757,38,"329.66","213949.34",39,"2024-06-02","INV776840","60684.3","Available","null","Rack-32","2024-01-18","Stock level: 5064 units, Supplier rating: 4.94"
"INV00000236","2024-09-23",2024,6,"PART000237","Part 237","PC195037","Component","Essential component Part 237","SUP0057","Supplier 57","Hyderabad","India","2.06","WH07","Warehouse 7","South","Hyderabad",49122,36170,132,12820,3845,13662,53,"378.47","4851985.4",64,"2024-08-17","INV507571","36416.25","Low Stock","null","Rack-64","2024-07-14","Stock level: 49122 units, Supplier rating: 2.06"
"INV00000237","2024-10-09",2024,12,"PART000238","Part 238","PC870532","Subassembly","Essential component Part 238","SUP0058","Supplier 58","Chennai","India","3.5","WH08","Warehouse 8","East","Chennai",41440,15451,337,25652,3576,19015,40,"811.08","20805824.16",27,"2024-03-21","INV487536","64058.78","Out of Stock","null","Rack-3","2024-09-03","Stock level: 41440 units, Supplier rating: 3.5"
"INV00000238","2024-02-22",2024,6,"PART000239","Part 239","PC913507","Tool","Essential component Part 239","SUP0059","Supplier 59","Kolkata","India","2.53","WH09","Warehouse 9","West","Kolkata",20200,12468,459,7273,2682,9196,34,"133.61","971745.53",66,"2024-09-13","INV794170","70718.65","Discontinued","2025-09-18","Rack-75","2024-12-14","Stock level: 20200 units, Supplier rating: 2.53"
"INV00000239","2024-02-18",2024,3,"PART000240","Part 240","PC594526","Packaging","Essential component Part 240","SUP0060","Supplier 60","Jaipur","India","3.13","WH10","Warehouse 10","Central","Jaipur",20249,16528,217,3504,2679,8563,49,"503.84","1765455.36",52,"2024-04-28","INV234267","27896","On Order","null","Rack-58","2024-10-19","Stock level: 20249 units, Supplier rating: 3.13"
"INV00000240","2024-05-14",2024,1,"PART000241","Part 241","PC865571","Raw Material","Essential component Part 241","SUP0001","Supplier 1","Mumbai","India","3.82","WH01","Warehouse 1","North","Mumbai",28420,16273,28,12119,1919,6837,5,"133.98","1623703.62",25,"2024-09-07","INV144116","90431.57","Available","null","Rack-20","2024-03-09","Stock level: 28420 units, Supplier rating: 3.82"
"INV00000241","2024-12-05",2024,6,"PART000242","Part 242","PC148069","Component","Essential component Part 242","SUP0002","Supplier 2","Delhi","India","4.6","WH02","Warehouse 2","South","Delhi",29450,25884,249,3317,2109,12763,49,"545.26","1808627.42",43,"2024-02-28","INV967112","98301.3","Low Stock","null","Rack-73","2024-05-17","Stock level: 29450 units, Supplier rating: 4.6"
"INV00000242","2024-07-28",2024,7,"PART000243","Part 243","PC892750","Subassembly","Essential component Part 243","SUP0003","Supplier 3","Bangalore","India","3","WH03","Warehouse 3","East","Bangalore",47937,7859,371,39707,4469,3262,17,"340.47","13519042.29",13,"2024-07-06","INV613082","58027.74","Out of Stock","2025-07-25","Rack-26","2024-07-28","Stock level: 47937 units, Supplier rating: 3.0"
"INV00000243","2024-07-28",2024,12,"PART000244","Part 244","PC316007","Tool","Essential component Part 244","SUP0004","Supplier 4","Pune","India","4.45","WH04","Warehouse 4","West","Pune",32897,32619,403,-125,3878,12608,8,"665.19","-83148.75",45,"2024-06-15","INV446675","24746.58","Discontinued","2025-04-12","Rack-87","2024-04-24","Stock level: 32897 units, Supplier rating: 4.45"
"INV00000244","2024-04-11",2024,9,"PART000245","Part 245","PC442021","Packaging","Essential component Part 245","SUP0005","Supplier 5","Hyderabad","India","3.61","WH05","Warehouse 5","Central","Hyderabad",47806,5866,55,41885,4357,3371,34,"93.44","3913734.4",10,"2024-01-23","INV169678","7023.18","On Order","null","Rack-25","2024-12-25","Stock level: 47806 units, Supplier rating: 3.61"
"INV00000245","2024-08-12",2024,5,"PART000246","Part 246","PC812386","Raw Material","Essential component Part 246","SUP0006","Supplier 6","Chennai","India","4.95","WH06","Warehouse 6","North","Chennai",25015,15721,214,9080,387,11739,12,"79.14","718591.2",18,"2024-01-22","INV252585","11025.11","Available","2025-07-03","Rack-51","2024-09-08","Stock level: 25015 units, Supplier rating: 4.95"
"INV00000246","2024-12-11",2024,9,"PART000247","Part 247","PC506311","Component","Essential component Part 247","SUP0007","Supplier 7","Kolkata","India","4.83","WH07","Warehouse 7","South","Kolkata",28045,25762,267,2016,4559,16705,20,"406.25","819000",60,"2024-06-17","INV962879","25732.87","Low Stock","2025-12-04","Rack-9","2024-03-12","Stock level: 28045 units, Supplier rating: 4.83"
"INV00000247","2024-10-20",2024,11,"PART000248","Part 248","PC541642","Subassembly","Essential component Part 248","SUP0008","Supplier 8","Jaipur","India","2.72","WH08","Warehouse 8","East","Jaipur",42860,25499,281,17080,878,3608,53,"333.33","5693276.4",70,"2024-02-24","INV432900","79959.08","Out of Stock","null","Rack-80","2024-09-01","Stock level: 42860 units, Supplier rating: 2.72"
"INV00000248","2024-04-20",2024,3,"PART000249","Part 249","PC526510","Tool","Essential component Part 249","SUP0009","Supplier 9","Mumbai","India","3.82","WH09","Warehouse 9","West","Mumbai",2020,238,432,1350,3727,15228,7,"125.97","170059.5",25,"2024-03-08","INV491535","99094","Discontinued","null","Rack-20","2024-06-07","Stock level: 2020 units, Supplier rating: 3.82"
"INV00000249","2024-07-06",2024,12,"PART000250","Part 250","PC607531","Packaging","Essential component Part 250","SUP0010","Supplier 10","Delhi","India","2.59","WH10","Warehouse 10","Central","Delhi",37866,8049,38,29779,2206,16080,27,"23.33","694744.07",87,"2024-09-02","INV600425","41969.59","On Order","null","Rack-72","2024-09-12","Stock level: 37866 units, Supplier rating: 2.59"
"INV00000250","2024-06-24",2024,11,"PART000001","Part 1","PC598079","Raw Material","Essential component Part 1","SUP0011","Supplier 11","Bangalore","India","4.61","WH01","Warehouse 1","North","Bangalore",15814,11448,268,4098,2983,11603,24,"332.54","1362748.92",76,"2024-06-07","INV995322","79236.78","Available","null","Rack-50","2024-01-07","Stock level: 15814 units, Supplier rating: 4.61"
"INV00000251","2024-07-22",2024,1,"PART000002","Part 2","PC729060","Component","Essential component Part 2","SUP0012","Supplier 12","Pune","India","3.45","WH02","Warehouse 2","South","Pune",24697,4493,314,19890,3585,3833,60,"356.92","7099138.8",68,"2024-12-19","INV543465","60186.34","Low Stock","2025-03-03","Rack-39","2024-05-01","Stock level: 24697 units, Supplier rating: 3.45"
"INV00000252","2024-04-07",2024,9,"PART000003","Part 3","PC276455","Subassembly","Essential component Part 3","SUP0013","Supplier 13","Hyderabad","India","4.76","WH03","Warehouse 3","East","Hyderabad",22442,21301,75,1066,1690,15010,11,"169.15","180313.9",19,"2024-07-26","INV847580","53106.39","Out of Stock","2025-10-08","Rack-64","2024-05-15","Stock level: 22442 units, Supplier rating: 4.76"
"INV00000253","2024-11-12",2024,12,"PART000004","Part 4","PC723275","Tool","Essential component Part 4","SUP0014","Supplier 14","Chennai","India","3.24","WH04","Warehouse 4","West","Chennai",38332,9743,17,28572,595,10277,35,"23.32","666299.04",57,"2024-09-10","INV580666","7884.52","Discontinued","null","Rack-53","2024-07-11","Stock level: 38332 units, Supplier rating: 3.24"
"INV00000254","2024-08-25",2024,4,"PART000005","Part 5","PC371246","Packaging","Essential component Part 5","SUP0015","Supplier 15","Kolkata","India","4.46","WH05","Warehouse 5","Central","Kolkata",34985,23485,96,11404,4968,2678,30,"810.65","9244652.6",37,"2024-07-12","INV525093","59034.09","On Order","null","Rack-8","2024-04-24","Stock level: 34985 units, Supplier rating: 4.46"
"INV00000255","2024-10-05",2024,9,"PART000006","Part 6","PC726507","Raw Material","Essential component Part 6","SUP0016","Supplier 16","Jaipur","India","2.21","WH06","Warehouse 6","North","Jaipur",34833,2517,429,31887,4562,19698,46,"854.86","27258920.82",46,"2024-06-27","INV717021","46835.28","Available","null","Rack-2","2024-04-08","Stock level: 34833 units, Supplier rating: 2.21"
"INV00000256","2024-01-09",2024,12,"PART000007","Part 7","PC121217","Component","Essential component Part 7","SUP0017","Supplier 17","Mumbai","India","4.47","WH07","Warehouse 7","South","Mumbai",20098,17672,215,2211,1187,11666,57,"336.67","744377.37",69,"2024-11-20","INV147623","81546.26","Low Stock","null","Rack-20","2024-10-13","Stock level: 20098 units, Supplier rating: 4.47"
"INV00000257","2024-05-06",2024,2,"PART000008","Part 8","PC924388","Subassembly","Essential component Part 8","SUP0018","Supplier 18","Delhi","India","4.63","WH08","Warehouse 8","East","Delhi",6849,1044,363,5442,882,16829,23,"330.72","1799778.24",83,"2024-01-27","INV478649","72761.18","Out of Stock","null","Rack-17","2024-08-20","Stock level: 6849 units, Supplier rating: 4.63"
"INV00000258","2024-03-12",2024,4,"PART000009","Part 9","PC251288","Tool","Essential component Part 9","SUP0019","Supplier 19","Bangalore","India","2.27","WH09","Warehouse 9","West","Bangalore",48861,32067,228,16566,385,17429,46,"867.97","14378791.02",90,"2024-10-04","INV963491","45045.15","Discontinued","null","Rack-21","2024-06-02","Stock level: 48861 units, Supplier rating: 2.27"
"INV00000259","2024-09-06",2024,2,"PART000010","Part 10","PC237896","Packaging","Essential component Part 10","SUP0020","Supplier 20","Pune","India","4.13","WH10","Warehouse 10","Central","Pune",15170,3891,113,11166,323,17229,18,"184.33","2058228.78",30,"2024-01-08","INV922081","36536.98","On Order","null","Rack-89","2024-12-14","Stock level: 15170 units, Supplier rating: 4.13"
"INV00000260","2024-08-11",2024,2,"PART000011","Part 11","PC515937","Raw Material","Essential component Part 11","SUP0021","Supplier 21","Hyderabad","India","3.26","WH01","Warehouse 1","North","Hyderabad",3410,428,204,2778,1423,18211,60,"486.22","1350719.16",82,"2024-04-06","INV649656","41351.24","Available","2025-04-18","Rack-61","2024-09-10","Stock level: 3410 units, Supplier rating: 3.26"
"INV00000261","2024-06-09",2024,8,"PART000012","Part 12","PC876746","Component","Essential component Part 12","SUP0022","Supplier 22","Chennai","India","4.3","WH02","Warehouse 2","South","Chennai",33334,8110,323,24901,4739,18731,13,"101.08","2516993.08",6,"2024-09-20","INV227379","16902.54","Low Stock","null","Rack-9","2024-10-17","Stock level: 33334 units, Supplier rating: 4.3"
"INV00000262","2024-01-20",2024,4,"PART000013","Part 13","PC437087","Subassembly","Essential component Part 13","SUP0023","Supplier 23","Kolkata","India","2.45","WH03","Warehouse 3","East","Kolkata",33742,30165,344,3233,1410,19241,45,"903.55","2921177.15",5,"2024-06-04","INV387956","38957.93","Out of Stock","2025-03-25","Rack-15","2024-01-14","Stock level: 33742 units, Supplier rating: 2.45"
"INV00000263","2024-09-03",2024,8,"PART000014","Part 14","PC733899","Tool","Essential component Part 14","SUP0024","Supplier 24","Jaipur","India","2.86","WH04","Warehouse 4","West","Jaipur",14114,5302,167,8645,4165,8576,29,"126.45","1093160.25",87,"2024-03-22","INV892750","59521.4","Discontinued","null","Rack-77","2024-01-12","Stock level: 14114 units, Supplier rating: 2.86"
"INV00000264","2024-12-09",2024,12,"PART000015","Part 15","PC338973","Packaging","Essential component Part 15","SUP0025","Supplier 25","Mumbai","India","4.89","WH05","Warehouse 5","Central","Mumbai",40729,18944,276,21509,2794,5882,59,"885.72","19050951.48",69,"2024-09-26","INV571928","67045.91","On Order","2025-07-16","Rack-68","2024-07-04","Stock level: 40729 units, Supplier rating: 4.89"
"INV00000265","2024-08-18",2024,7,"PART000016","Part 16","PC585185","Raw Material","Essential component Part 16","SUP0026","Supplier 26","Delhi","India","2.07","WH06","Warehouse 6","North","Delhi",11149,10198,224,727,768,9766,18,"943.42","685866.34",17,"2024-03-08","INV470310","27678.74","Available","null","Rack-79","2024-01-08","Stock level: 11149 units, Supplier rating: 2.07"
"INV00000266","2024-05-05",2024,5,"PART000017","Part 17","PC538780","Component","Essential component Part 17","SUP0027","Supplier 27","Bangalore","India","4.46","WH07","Warehouse 7","South","Bangalore",33296,16888,327,16081,666,9518,27,"602.19","9683817.39",38,"2024-07-03","INV868513","10551.38","Low Stock","null","Rack-36","2024-09-17","Stock level: 33296 units, Supplier rating: 4.46"
"INV00000267","2024-07-21",2024,6,"PART000018","Part 18","PC906968","Subassembly","Essential component Part 18","SUP0028","Supplier 28","Pune","India","2.05","WH08","Warehouse 8","East","Pune",25139,20119,366,4654,3172,10461,58,"960.71","4471144.34",19,"2024-05-06","INV834526","12875.53","Out of Stock","2025-06-06","Rack-76","2024-09-15","Stock level: 25139 units, Supplier rating: 2.05"
"INV00000268","2024-08-08",2024,9,"PART000019","Part 19","PC648741","Tool","Essential component Part 19","SUP0029","Supplier 29","Hyderabad","India","4.38","WH09","Warehouse 9","West","Hyderabad",1815,1428,383,4,2031,15193,21,"330.39","1321.56",5,"2024-06-07","INV338270","86440.76","Discontinued","2025-05-02","Rack-43","2024-07-18","Stock level: 1815 units, Supplier rating: 4.38"
"INV00000269","2024-08-18",2024,3,"PART000020","Part 20","PC276404","Packaging","Essential component Part 20","SUP0030","Supplier 30","Chennai","India","2.54","WH10","Warehouse 10","Central","Chennai",26580,8793,351,17436,4386,12078,10,"893.64","15581507.04",60,"2024-11-21","INV973856","34541.15","On Order","null","Rack-99","2024-04-04","Stock level: 26580 units, Supplier rating: 2.54"
"INV00000270","2024-04-26",2024,4,"PART000021","Part 21","PC734940","Raw Material","Essential component Part 21","SUP0031","Supplier 31","Kolkata","India","3.39","WH01","Warehouse 1","North","Kolkata",5260,2892,368,2000,2031,12470,14,"639.23","1278460",27,"2024-02-05","INV147701","98686.51","Available","null","Rack-56","2024-11-01","Stock level: 5260 units, Supplier rating: 3.39"
"INV00000271","2024-03-21",2024,11,"PART000022","Part 22","PC645281","Component","Essential component Part 22","SUP0032","Supplier 32","Jaipur","India","2.69","WH02","Warehouse 2","South","Jaipur",19769,6326,410,13033,3026,16784,33,"184.5","2404588.5",8,"2024-04-25","INV729342","37100.87","Low Stock","null","Rack-58","2024-07-28","Stock level: 19769 units, Supplier rating: 2.69"
"INV00000272","2024-09-20",2024,9,"PART000023","Part 23","PC727407","Subassembly","Essential component Part 23","SUP0033","Supplier 33","Mumbai","India","4.95","WH03","Warehouse 3","East","Mumbai",43071,15821,245,27005,2923,13431,25,"831.54","22455737.7",27,"2024-02-20","INV426856","14143.71","Out of Stock","null","Rack-53","2024-05-25","Stock level: 43071 units, Supplier rating: 4.95"
"INV00000273","2024-09-17",2024,6,"PART000024","Part 24","PC849072","Tool","Essential component Part 24","SUP0034","Supplier 34","Delhi","India","3.87","WH04","Warehouse 4","West","Delhi",6501,3422,440,2639,971,6618,51,"598.72","1580022.08",64,"2024-08-20","INV287928","89638.47","Discontinued","2025-07-19","Rack-61","2024-01-15","Stock level: 6501 units, Supplier rating: 3.87"
"INV00000274","2024-07-14",2024,10,"PART000025","Part 25","PC336517","Packaging","Essential component Part 25","SUP0035","Supplier 35","Bangalore","India","3.57","WH05","Warehouse 5","Central","Bangalore",25658,8774,490,16394,3550,13427,42,"37.89","621168.66",12,"2024-01-01","INV500101","64218.38","On Order","null","Rack-43","2024-10-04","Stock level: 25658 units, Supplier rating: 3.57"
"INV00000275","2024-01-23",2024,5,"PART000026","Part 26","PC685356","Raw Material","Essential component Part 26","SUP0036","Supplier 36","Pune","India","4.54","WH06","Warehouse 6","North","Pune",17114,4053,389,12672,3161,13438,13,"897.54","11373626.88",20,"2024-04-09","INV440165","39678.93","Available","2025-10-01","Rack-48","2024-06-01","Stock level: 17114 units, Supplier rating: 4.54"
"INV00000276","2024-11-09",2024,11,"PART000027","Part 27","PC183719","Component","Essential component Part 27","SUP0037","Supplier 37","Hyderabad","India","4.57","WH07","Warehouse 7","South","Hyderabad",41587,34118,162,7307,2183,969,25,"305.19","2230023.33",33,"2024-06-20","INV743448","75716.36","Low Stock","null","Rack-25","2024-09-26","Stock level: 41587 units, Supplier rating: 4.57"
"INV00000277","2024-10-05",2024,3,"PART000028","Part 28","PC980895","Subassembly","Essential component Part 28","SUP0038","Supplier 38","Chennai","India","4.57","WH08","Warehouse 8","East","Chennai",17257,9621,389,7247,287,17421,10,"124.43","901744.21",40,"2024-05-12","INV972615","37170.18","Out of Stock","null","Rack-96","2024-11-02","Stock level: 17257 units, Supplier rating: 4.57"
"INV00000278","2024-12-04",2024,7,"PART000029","Part 29","PC881735","Tool","Essential component Part 29","SUP0039","Supplier 39","Kolkata","India","3.58","WH09","Warehouse 9","West","Kolkata",33640,5725,186,27729,4419,7947,58,"660.45","18313618.05",87,"2024-11-14","INV523677","32914.22","Discontinued","null","Rack-88","2024-04-04","Stock level: 33640 units, Supplier rating: 3.58"
"INV00000279","2024-11-20",2024,12,"PART000030","Part 30","PC902703","Packaging","Essential component Part 30","SUP0040","Supplier 40","Jaipur","India","3.76","WH10","Warehouse 10","Central","Jaipur",46500,2804,136,43560,4049,10995,30,"371.97","16203013.2",6,"2024-05-07","INV248210","35588.57","On Order","null","Rack-28","2024-11-03","Stock level: 46500 units, Supplier rating: 3.76"
"INV00000280","2024-08-28",2024,12,"PART000031","Part 31","PC675040","Raw Material","Essential component Part 31","SUP0041","Supplier 41","Mumbai","India","4.12","WH01","Warehouse 1","North","Mumbai",19277,17456,260,1561,3981,9834,54,"705.65","1101519.65",35,"2024-12-10","INV919616","87092.81","Available","null","Rack-63","2024-06-06","Stock level: 19277 units, Supplier rating: 4.12"
"INV00000281","2024-08-14",2024,4,"PART000032","Part 32","PC933999","Component","Essential component Part 32","SUP0042","Supplier 42","Delhi","India","2.46","WH02","Warehouse 2","South","Delhi",21162,1454,168,19540,2934,12238,51,"586.02","11450830.8",10,"2024-06-20","INV669466","97588.73","Low Stock","2025-01-18","Rack-99","2024-12-11","Stock level: 21162 units, Supplier rating: 2.46"
"INV00000282","2024-11-06",2024,11,"PART000033","Part 33","PC768734","Subassembly","Essential component Part 33","SUP0043","Supplier 43","Bangalore","India","3.97","WH03","Warehouse 3","East","Bangalore",19620,4964,447,14209,209,7969,16,"794.79","11293171.11",55,"2024-11-18","INV838068","59291.9","Out of Stock","2025-06-17","Rack-92","2024-01-11","Stock level: 19620 units, Supplier rating: 3.97"
"INV00000283","2024-05-28",2024,6,"PART000034","Part 34","PC708215","Tool","Essential component Part 34","SUP0044","Supplier 44","Pune","India","2.83","WH04","Warehouse 4","West","Pune",17477,9930,312,7235,643,19429,53,"236.42","1710498.7",47,"2024-05-09","INV942316","55548.38","Discontinued","null","Rack-60","2024-07-08","Stock level: 17477 units, Supplier rating: 2.83"
"INV00000284","2024-01-04",2024,3,"PART000035","Part 35","PC172766","Packaging","Essential component Part 35","SUP0045","Supplier 45","Hyderabad","India","4.6","WH05","Warehouse 5","Central","Hyderabad",11555,1953,148,9454,439,15156,38,"862.56","8154642.24",23,"2024-04-26","INV593245","89130.96","On Order","2025-02-18","Rack-3","2024-08-20","Stock level: 11555 units, Supplier rating: 4.6"
"INV00000285","2024-03-23",2024,11,"PART000036","Part 36","PC436502","Raw Material","Essential component Part 36","SUP0046","Supplier 46","Chennai","India","3.52","WH06","Warehouse 6","North","Chennai",41693,5160,334,36199,2852,5182,52,"583.91","21136958.09",85,"2024-07-12","INV493537","48912.9","Available","null","Rack-25","2024-08-14","Stock level: 41693 units, Supplier rating: 3.52"
"INV00000286","2024-12-08",2024,5,"PART000037","Part 37","PC170444","Component","Essential component Part 37","SUP0047","Supplier 47","Kolkata","India","2.54","WH07","Warehouse 7","South","Kolkata",35860,6513,447,28900,2555,1172,49,"548.5","15851650",75,"2024-09-03","INV546227","50995.87","Low Stock","2025-05-11","Rack-20","2024-05-05","Stock level: 35860 units, Supplier rating: 2.54"
"INV00000287","2024-04-23",2024,7,"PART000038","Part 38","PC776194","Subassembly","Essential component Part 38","SUP0048","Supplier 48","Jaipur","India","2.53","WH08","Warehouse 8","East","Jaipur",33227,2886,13,30328,146,2469,20,"319.75","9697378",54,"2024-11-04","INV136565","68067.35","Out of Stock","null","Rack-65","2024-04-23","Stock level: 33227 units, Supplier rating: 2.53"
"INV00000288","2024-03-06",2024,7,"PART000039","Part 39","PC887334","Tool","Essential component Part 39","SUP0049","Supplier 49","Mumbai","India","4.86","WH09","Warehouse 9","West","Mumbai",9928,3031,442,6455,1063,13463,9,"314.28","2028677.4",85,"2024-08-19","INV288037","19198.32","Discontinued","2025-08-18","Rack-92","2024-04-04","Stock level: 9928 units, Supplier rating: 4.86"
"INV00000289","2024-08-15",2024,6,"PART000040","Part 40","PC540252","Packaging","Essential component Part 40","SUP0050","Supplier 50","Delhi","India","2.06","WH10","Warehouse 10","Central","Delhi",39288,38460,446,382,1939,13219,32,"418.5","159867",26,"2024-04-18","INV224911","9440.66","On Order","null","Rack-3","2024-05-07","Stock level: 39288 units, Supplier rating: 2.06"
"INV00000290","2024-05-02",2024,6,"PART000041","Part 41","PC580940","Raw Material","Essential component Part 41","SUP0051","Supplier 51","Bangalore","India","3.34","WH01","Warehouse 1","North","Bangalore",27319,20174,413,6732,4487,6446,19,"49.49","333166.68",7,"2024-11-23","INV208243","95100.55","Available","null","Rack-47","2024-07-02","Stock level: 27319 units, Supplier rating: 3.34"
"INV00000291","2024-01-14",2024,10,"PART000042","Part 42","PC298969","Component","Essential component Part 42","SUP0052","Supplier 52","Pune","India","3.06","WH02","Warehouse 2","South","Pune",49718,13442,2,36274,1080,9675,59,"287.52","10429500.48",45,"2024-01-08","INV232708","65752.56","Low Stock","2025-07-03","Rack-63","2024-07-01","Stock level: 49718 units, Supplier rating: 3.06"
"INV00000292","2024-07-24",2024,5,"PART000043","Part 43","PC937034","Subassembly","Essential component Part 43","SUP0053","Supplier 53","Hyderabad","India","4.51","WH03","Warehouse 3","East","Hyderabad",47774,30625,91,17058,1398,2196,38,"616.98","10524444.84",22,"2024-07-10","INV225339","30777.05","Out of Stock","null","Rack-76","2024-10-11","Stock level: 47774 units, Supplier rating: 4.51"
"INV00000293","2024-10-09",2024,11,"PART000044","Part 44","PC377552","Tool","Essential component Part 44","SUP0054","Supplier 54","Chennai","India","3.48","WH04","Warehouse 4","West","Chennai",32110,16973,436,14701,1003,17264,22,"830.37","12207269.37",37,"2024-05-08","INV738815","42414.83","Discontinued","null","Rack-43","2024-02-25","Stock level: 32110 units, Supplier rating: 3.48"
"INV00000294","2024-02-17",2024,10,"PART000045","Part 45","PC454382","Packaging","Essential component Part 45","SUP0055","Supplier 55","Kolkata","India","4.39","WH05","Warehouse 5","Central","Kolkata",15680,868,45,14767,3088,5894,58,"630.54","9311184.18",60,"2024-06-27","INV887000","37718.27","On Order","2025-12-16","Rack-57","2024-02-27","Stock level: 15680 units, Supplier rating: 4.39"
"INV00000295","2024-05-14",2024,7,"PART000046","Part 46","PC536517","Raw Material","Essential component Part 46","SUP0056","Supplier 56","Jaipur","India","4.4","WH06","Warehouse 6","North","Jaipur",216,58,40,118,3466,13588,45,"441.93","52147.74",48,"2024-04-05","INV380501","58190.76","Available","null","Rack-13","2024-04-16","Stock level: 216 units, Supplier rating: 4.4"
