"log_id","log_date","log_time","year","month","machine_id","machine_name","machine_model","machine_type","manufacturer","factory_id","factory_name","assembly_line_id","assembly_line_name","temperature","humidity","pressure","vibration","rpm","power","status","health_score","maintenance_alert","efficiency","uptime","downtime","idletime","production_count","errorcode","error_code","last_maintenance_date","next_maintenance_date"
"LOG00000192","2024-11-05","07:51:30",2024,2,"MACH00093","Machine 93","MODEL-8297","CNC Machine","Siemens","FAC01","Factory 1","LINE013","Assembly Line 13","32.5","68.9","4.65","27.14",3704,"18.86","Maintenance","57.11","Yes","98.93",15,8,0,470,"E001","Error condition E001","2024-12-08","2024-07-22"
"LOG00000193","2024-12-23","10:22:15",2024,9,"MACH00094","Machine 94","MODEL-3378","Hydraulic Press","ABB","FAC02","Factory 2","LINE014","Assembly Line 14","72.2","64.7","3.6","49.41",8962,"18.7","Error","56.92","Yes","93.52",7,8,7,7485,"E002","Error condition E002","2024-03-05","2024-02-18"
"LOG00000194","2024-05-18","08:26:58",2024,7,"MACH00095","Machine 95","MODEL-6965","Conveyor","Fanuc","FAC03","Factory 3","LINE015","Assembly Line 15","68.7","45.6","8.06","19.88",2249,"21.75","Stopped","96.39","No","96.99",23,7,12,7778,"E003","Error condition E003","2024-11-23","2024-10-04"
"LOG00000195","2024-07-09","13:32:54",2024,8,"MACH00096","Machine 96","MODEL-4401","Robot Arm","KUKA","FAC04","Factory 4","LINE016","Assembly Line 16","25.3","42.4","5.08","0.26",1394,"43","Running","60.94","Yes","78.85",6,2,16,2862,"E004","Error condition E004","2024-06-06","2024-09-28"
"LOG00000196","2024-08-09","18:38:44",2024,1,"MACH00097","Machine 97","MODEL-8053","Welder","Bosch","FAC05","Factory 5","LINE017","Assembly Line 17","73.5","45.9","5.48","19.6",2823,"41.03","Idle","61.18","Yes","76.9",15,9,4,9237,"E005","Error condition E005","2024-03-16","2024-05-02"
"LOG00000197","2024-05-08","23:11:19",2024,7,"MACH00098","Machine 98","MODEL-1647","Drill","Mitsubishi","FAC06","Factory 6","LINE018","Assembly Line 18","61.3","62","8","12.83",4987,"19.63","Maintenance","98.14","No","62.02",20,3,8,3989,"None","No errors","2024-05-16","2024-08-13"
"LOG00000198","2024-12-05","05:53:30",2024,8,"MACH00099","Machine 99","MODEL-2721","Lathe","Yaskawa","FAC07","Factory 7","LINE019","Assembly Line 19","51.4","72","2.45","25.16",6222,"34.6","Error","96.53","No","98.84",4,2,15,5388,"E001","Error condition E001","2024-04-02","2024-11-24"
"LOG00000199","2024-02-17","07:19:57",2024,4,"MACH00100","Machine 100","MODEL-5039","Compressor","Omron","FAC08","Factory 8","LINE020","Assembly Line 20","65.1","36","5.03","9.03",4855,"39.98","Stopped","91.43","No","68.44",21,0,10,376,"E002","Error condition E002","2024-12-19","2024-05-17"
"LOG00000200","2024-02-03","20:27:18",2024,8,"MACH00001","Machine 1","MODEL-2848","CNC Machine","Siemens","FAC01","Factory 1","LINE021","Assembly Line 21","56.3","58.4","6.29","0.01",4573,"42.37","Running","71.61","No","70.26",0,19,11,2250,"E003","Error condition E003","2024-03-27","2024-12-17"
"LOG00000201","2024-07-06","03:16:28",2024,12,"MACH00002","Machine 2","MODEL-9311","Hydraulic Press","ABB","FAC02","Factory 2","LINE022","Assembly Line 22","40.3","66.4","3.32","2.6",2241,"29.68","Idle","67","Yes","82.68",19,17,7,3911,"E004","Error condition E004","2024-09-11","2024-04-15"
"LOG00000202","2024-08-02","16:30:45",2024,3,"MACH00003","Machine 3","MODEL-2507","Conveyor","Fanuc","FAC03","Factory 3","LINE023","Assembly Line 23","78.1","49","4.58","42.92",9983,"30.4","Maintenance","52.15","Yes","97.46",14,9,22,5257,"E005","Error condition E005","2024-05-08","2024-03-14"
"LOG00000203","2024-09-06","22:49:50",2024,5,"MACH00004","Machine 4","MODEL-3836","Robot Arm","KUKA","FAC04","Factory 4","LINE024","Assembly Line 24","57.6","66.4","4.76","33.77",1626,"42.29","Error","56.75","Yes","71.08",13,23,19,7416,"None","No errors","2024-09-06","2024-10-22"
"LOG00000204","2024-08-19","05:05:59",2024,5,"MACH00005","Machine 5","MODEL-6634","Welder","Bosch","FAC05","Factory 5","LINE025","Assembly Line 25","49.4","54.6","8.26","13.4",7243,"30.48","Stopped","71.51","No","63.07",3,8,10,3464,"E001","Error condition E001","2024-06-13","2024-03-03"
"LOG00000205","2024-01-11","02:12:55",2024,1,"MACH00006","Machine 6","MODEL-9899","Drill","Mitsubishi","FAC06","Factory 6","LINE026","Assembly Line 26","30.6","51","7.38","8.8",8795,"42.99","Running","99.72","No","93.15",14,11,13,4517,"E002","Error condition E002","2024-02-18","2024-08-05"
"LOG00000206","2024-05-08","07:56:25",2024,7,"MACH00007","Machine 7","MODEL-3516","Lathe","Yaskawa","FAC07","Factory 7","LINE027","Assembly Line 27","60.7","75.9","8.85","12.69",5890,"20.43","Idle","59.36","Yes","72.15",3,4,18,4201,"E003","Error condition E003","2024-09-09","2024-06-21"
"LOG00000207","2024-01-09","18:47:46",2024,12,"MACH00008","Machine 8","MODEL-7785","Compressor","Omron","FAC08","Factory 8","LINE028","Assembly Line 28","44.4","48.6","0.84","15.55",3929,"10.92","Maintenance","84.14","No","99.83",11,10,23,6131,"E004","Error condition E004","2024-11-21","2024-06-05"
"LOG00000208","2024-07-25","19:48:12",2024,8,"MACH00009","Machine 9","MODEL-4223","CNC Machine","Siemens","FAC01","Factory 1","LINE029","Assembly Line 29","76.9","35.7","8.65","3.92",904,"22.29","Error","77.77","No","76.85",22,12,17,3899,"E005","Error condition E005","2024-11-27","2024-05-22"
"LOG00000209","2024-02-21","13:12:01",2024,5,"MACH00010","Machine 10","MODEL-5991","Hydraulic Press","ABB","FAC02","Factory 2","LINE030","Assembly Line 30","75.8","56.5","3.97","10.6",6614,"23.12","Stopped","96.74","No","65.74",13,15,14,3123,"None","No errors","2024-04-19","2024-02-08"
"LOG00000210","2024-09-20","00:23:16",2024,6,"MACH00011","Machine 11","MODEL-5742","Conveyor","Fanuc","FAC03","Factory 3","LINE001","Assembly Line 1","63.9","59.7","3.45","23.74",7418,"41.57","Running","89.52","No","92.62",19,13,8,6081,"E001","Error condition E001","2024-09-25","2024-06-17"
"LOG00000211","2024-04-05","03:26:35",2024,3,"MACH00012","Machine 12","MODEL-5010","Robot Arm","KUKA","FAC04","Factory 4","LINE002","Assembly Line 2","60.9","57.5","5.55","35.64",1915,"28.32","Idle","56.26","Yes","83.51",4,5,2,2899,"E002","Error condition E002","2024-03-15","2024-02-11"
"LOG00000212","2024-10-01","03:02:44",2024,3,"MACH00013","Machine 13","MODEL-4292","Welder","Bosch","FAC05","Factory 5","LINE003","Assembly Line 3","68.1","40.1","5.31","26.96",1278,"14.95","Maintenance","83.31","No","82.69",19,0,22,3599,"E003","Error condition E003","2024-11-04","2024-09-04"
"LOG00000213","2024-02-24","05:03:44",2024,7,"MACH00014","Machine 14","MODEL-2922","Drill","Mitsubishi","FAC06","Factory 6","LINE004","Assembly Line 4","38.6","31.2","1.84","18.55",3492,"45.11","Error","75.52","No","97.88",5,4,16,7677,"E004","Error condition E004","2024-12-21","2024-09-05"
"LOG00000214","2024-02-22","16:38:26",2024,6,"MACH00015","Machine 15","MODEL-4914","Lathe","Yaskawa","FAC07","Factory 7","LINE005","Assembly Line 5","78.8","58.9","3.81","18.35",4237,"41.24","Stopped","71.55","No","96.52",20,19,9,1084,"E005","Error condition E005","2024-01-11","2024-09-11"
"LOG00000215","2024-04-14","11:52:01",2024,12,"MACH00016","Machine 16","MODEL-5983","Compressor","Omron","FAC08","Factory 8","LINE006","Assembly Line 6","46.1","44","3.77","15.23",397,"43.89","Running","77.07","No","79.85",20,17,3,44,"None","No errors","2024-09-28","2024-03-27"
"LOG00000216","2024-03-16","00:52:04",2024,2,"MACH00017","Machine 17","MODEL-3881","CNC Machine","Siemens","FAC01","Factory 1","LINE007","Assembly Line 7","67.8","42.8","8.48","49.86",621,"48.67","Idle","67","Yes","74.84",0,10,20,4076,"E001","Error condition E001","2024-08-09","2024-01-10"
"LOG00000217","2024-11-12","19:17:16",2024,1,"MACH00018","Machine 18","MODEL-2597","Hydraulic Press","ABB","FAC02","Factory 2","LINE008","Assembly Line 8","69.7","51.1","0.88","37.08",9639,"37.48","Maintenance","65.3","Yes","92.54",11,16,5,8846,"E002","Error condition E002","2024-09-15","2024-06-04"
"LOG00000218","2024-07-09","16:45:42",2024,3,"MACH00019","Machine 19","MODEL-1169","Conveyor","Fanuc","FAC03","Factory 3","LINE009","Assembly Line 9","54.4","58.3","9.16","14.96",3912,"9.43","Error","57.52","Yes","99.81",3,15,22,1662,"E003","Error condition E003","2024-04-09","2024-07-07"
"LOG00000219","2024-09-18","04:46:14",2024,4,"MACH00020","Machine 20","MODEL-8847","Robot Arm","KUKA","FAC04","Factory 4","LINE010","Assembly Line 10","54.7","38.9","5.33","31.18",4810,"9.84","Stopped","95.87","No","97.63",13,2,4,4996,"E004","Error condition E004","2024-10-11","2024-03-14"
"LOG00000220","2024-07-28","07:03:15",2024,2,"MACH00021","Machine 21","MODEL-5393","Welder","Bosch","FAC05","Factory 5","LINE011","Assembly Line 11","45.5","42.2","8.26","1.2",6842,"24.95","Running","60.07","Yes","70.34",13,16,5,9096,"E005","Error condition E005","2024-07-23","2024-02-16"
"LOG00000221","2024-04-26","23:04:12",2024,11,"MACH00022","Machine 22","MODEL-8551","Drill","Mitsubishi","FAC06","Factory 6","LINE012","Assembly Line 12","71.6","71.1","9.68","0.4",8104,"36.56","Idle","77.48","No","66.39",23,12,16,7082,"None","No errors","2024-06-01","2024-01-16"
"LOG00000222","2024-08-21","20:54:14",2024,8,"MACH00023","Machine 23","MODEL-8865","Lathe","Yaskawa","FAC07","Factory 7","LINE013","Assembly Line 13","34.8","52.4","9.46","19.11",8527,"21.86","Maintenance","96.03","No","83.04",18,23,4,8869,"E001","Error condition E001","2024-01-26","2024-02-17"
"LOG00000223","2024-04-24","01:56:44",2024,8,"MACH00024","Machine 24","MODEL-5358","Compressor","Omron","FAC08","Factory 8","LINE014","Assembly Line 14","40.5","30.9","5.24","7.58",9631,"25.89","Error","98.2","No","95.39",13,9,1,6768,"E002","Error condition E002","2024-07-18","2024-06-09"
"LOG00000224","2024-01-10","07:00:33",2024,5,"MACH00025","Machine 25","MODEL-2629","CNC Machine","Siemens","FAC01","Factory 1","LINE015","Assembly Line 15","74.9","63.2","4.09","8.21",7949,"47.63","Stopped","90.5","No","72.38",0,5,2,2702,"E003","Error condition E003","2024-10-18","2024-02-14"
"LOG00000225","2024-08-09","10:32:25",2024,1,"MACH00026","Machine 26","MODEL-2286","Hydraulic Press","ABB","FAC02","Factory 2","LINE016","Assembly Line 16","25.3","69.1","7.72","21.8",1043,"19.22","Running","70.58","No","88.3",14,12,1,4155,"E004","Error condition E004","2024-09-19","2024-05-13"
"LOG00000226","2024-02-23","15:29:03",2024,4,"MACH00027","Machine 27","MODEL-2067","Conveyor","Fanuc","FAC03","Factory 3","LINE017","Assembly Line 17","78.4","59.5","7.19","41.96",179,"6.05","Idle","97.5","No","69.87",11,17,11,1798,"E005","Error condition E005","2024-03-19","2024-04-03"
"LOG00000227","2024-11-16","04:40:46",2024,8,"MACH00028","Machine 28","MODEL-4710","Robot Arm","KUKA","FAC04","Factory 4","LINE018","Assembly Line 18","39.2","62.5","6.07","46.24",1549,"34.78","Maintenance","81.06","No","94.07",6,5,10,962,"None","No errors","2024-09-28","2024-05-03"
"LOG00000228","2024-02-21","14:29:14",2024,12,"MACH00029","Machine 29","MODEL-4956","Welder","Bosch","FAC05","Factory 5","LINE019","Assembly Line 19","76","51.7","1.37","37.17",569,"5.92","Error","77.76","No","91.46",0,15,22,5022,"E001","Error condition E001","2024-01-13","2024-09-27"
"LOG00000229","2024-03-04","16:55:06",2024,1,"MACH00030","Machine 30","MODEL-6080","Drill","Mitsubishi","FAC06","Factory 6","LINE020","Assembly Line 20","28.8","61.3","3.63","49.84",768,"12.41","Stopped","80.86","No","77.65",1,6,22,9211,"E002","Error condition E002","2024-01-06","2024-08-12"
"LOG00000230","2024-04-05","06:47:53",2024,6,"MACH00031","Machine 31","MODEL-7356","Lathe","Yaskawa","FAC07","Factory 7","LINE021","Assembly Line 21","42.4","69.9","7.57","11.42",6655,"46.39","Running","94.86","No","72.8",5,6,23,946,"E003","Error condition E003","2024-09-09","2024-01-22"
"LOG00000231","2024-07-08","01:35:34",2024,12,"MACH00032","Machine 32","MODEL-7409","Compressor","Omron","FAC08","Factory 8","LINE022","Assembly Line 22","45.7","41.7","2.58","39.79",2796,"42.66","Idle","65.39","Yes","92.61",7,9,10,9500,"E004","Error condition E004","2024-12-20","2024-06-26"
"LOG00000232","2024-05-14","05:17:14",2024,10,"MACH00033","Machine 33","MODEL-4678","CNC Machine","Siemens","FAC01","Factory 1","LINE023","Assembly Line 23","72.7","64.8","5.15","34.63",6765,"22.57","Maintenance","61.8","Yes","62.3",5,5,23,805,"E005","Error condition E005","2024-01-28","2024-07-24"
"LOG00000233","2024-09-26","19:03:46",2024,10,"MACH00034","Machine 34","MODEL-1669","Hydraulic Press","ABB","FAC02","Factory 2","LINE024","Assembly Line 24","65.3","61.9","2.16","12.87",6188,"30.43","Error","58.71","Yes","93.47",5,11,24,6257,"None","No errors","2024-10-22","2024-03-24"
"LOG00000234","2024-10-19","12:36:15",2024,2,"MACH00035","Machine 35","MODEL-1826","Conveyor","Fanuc","FAC03","Factory 3","LINE025","Assembly Line 25","55.3","62.9","8.48","35.49",7022,"5.77","Stopped","76.36","No","98.64",0,17,14,9622,"E001","Error condition E001","2024-07-15","2024-12-22"
"LOG00000235","2024-08-02","08:58:48",2024,2,"MACH00036","Machine 36","MODEL-4381","Robot Arm","KUKA","FAC04","Factory 4","LINE026","Assembly Line 26","45.7","78.7","4.37","25.47",1970,"30.59","Running","63.74","Yes","91.2",7,2,24,8999,"E002","Error condition E002","2024-07-01","2024-06-09"
"LOG00000236","2024-05-14","23:25:19",2024,7,"MACH00037","Machine 37","MODEL-4491","Welder","Bosch","FAC05","Factory 5","LINE027","Assembly Line 27","64.6","55.7","7.73","38.18",7284,"4.78","Idle","79.98","No","76.17",18,20,1,4624,"E003","Error condition E003","2024-02-26","2024-12-08"
"LOG00000237","2024-09-28","00:15:57",2024,4,"MACH00038","Machine 38","MODEL-6838","Drill","Mitsubishi","FAC06","Factory 6","LINE028","Assembly Line 28","76.7","74.3","8.61","37",5667,"44.16","Maintenance","50.54","Yes","84.25",19,2,0,2499,"E004","Error condition E004","2024-11-25","2024-05-15"
"LOG00000238","2024-09-26","18:07:18",2024,2,"MACH00039","Machine 39","MODEL-9744","Lathe","Yaskawa","FAC07","Factory 7","LINE029","Assembly Line 29","36.9","60.6","3.78","19.29",9180,"7.87","Error","65.62","Yes","90.89",0,2,8,611,"E005","Error condition E005","2024-02-17","2024-01-10"
"LOG00000239","2024-07-13","02:37:48",2024,1,"MACH00040","Machine 40","MODEL-9450","Compressor","Omron","FAC08","Factory 8","LINE030","Assembly Line 30","64.1","64.1","6.98","15.63",6335,"36.43","Stopped","99.69","No","70.2",15,18,2,5513,"None","No errors","2024-12-17","2024-09-01"
"LOG00000240","2024-09-18","07:24:15",2024,8,"MACH00041","Machine 41","MODEL-4889","CNC Machine","Siemens","FAC01","Factory 1","LINE001","Assembly Line 1","40.2","35.5","1.97","12.26",1872,"29.48","Running","54.3","Yes","74.94",1,4,22,1052,"E001","Error condition E001","2024-02-19","2024-07-17"
"LOG00000241","2024-02-23","19:15:52",2024,1,"MACH00042","Machine 42","MODEL-2901","Hydraulic Press","ABB","FAC02","Factory 2","LINE002","Assembly Line 2","77.7","39.9","5.07","4.75",5004,"39.09","Idle","57.89","Yes","61.58",5,13,15,2035,"E002","Error condition E002","2024-09-03","2024-06-06"
"LOG00000242","2024-05-10","05:57:42",2024,11,"MACH00043","Machine 43","MODEL-5289","Conveyor","Fanuc","FAC03","Factory 3","LINE003","Assembly Line 3","44.2","37.4","4.88","40.44",4508,"48.34","Maintenance","75.94","No","72.99",4,22,8,6704,"E003","Error condition E003","2024-02-07","2024-08-09"
"LOG00000243","2024-12-09","05:43:35",2024,2,"MACH00044","Machine 44","MODEL-7657","Robot Arm","KUKA","FAC04","Factory 4","LINE004","Assembly Line 4","40.4","30.6","5.72","23.39",9750,"38.81","Error","95.3","No","82.72",22,10,2,8415,"E004","Error condition E004","2024-03-14","2024-03-06"
"LOG00000244","2024-10-04","23:50:35",2024,6,"MACH00045","Machine 45","MODEL-6764","Welder","Bosch","FAC05","Factory 5","LINE005","Assembly Line 5","67.3","47.7","6.49","36.67",253,"21.53","Stopped","75.15","No","83.67",14,4,18,537,"E005","Error condition E005","2024-04-04","2024-04-01"
"LOG00000245","2024-02-17","10:26:29",2024,4,"MACH00046","Machine 46","MODEL-5648","Drill","Mitsubishi","FAC06","Factory 6","LINE006","Assembly Line 6","28.5","73.4","4.29","9.5",688,"41.06","Running","74.55","No","76.06",3,3,20,1060,"None","No errors","2024-12-06","2024-02-07"
"LOG00000246","2024-05-01","06:21:34",2024,4,"MACH00047","Machine 47","MODEL-8072","Lathe","Yaskawa","FAC07","Factory 7","LINE007","Assembly Line 7","57.2","71.1","5.76","12.32",2767,"8.91","Idle","98.89","No","79.42",8,3,15,6329,"E001","Error condition E001","2024-06-20","2024-09-23"
"LOG00000247","2024-07-21","14:17:36",2024,1,"MACH00048","Machine 48","MODEL-6763","Compressor","Omron","FAC08","Factory 8","LINE008","Assembly Line 8","58.5","72","4.27","46.38",3553,"40.07","Maintenance","64.97","Yes","73.36",13,11,14,9001,"E002","Error condition E002","2024-04-01","2024-07-14"
"LOG00000248","2024-09-11","03:58:53",2024,9,"MACH00049","Machine 49","MODEL-2013","CNC Machine","Siemens","FAC01","Factory 1","LINE009","Assembly Line 9","51","77.6","8.47","27.68",3776,"31.87","Error","51.18","Yes","95.27",0,1,17,136,"E003","Error condition E003","2024-12-20","2024-10-14"
"LOG00000249","2024-09-02","04:49:23",2024,4,"MACH00050","Machine 50","MODEL-5350","Hydraulic Press","ABB","FAC02","Factory 2","LINE010","Assembly Line 10","74.7","39.3","8.44","14.62",9214,"32.55","Stopped","97.2","No","69.19",12,2,9,8234,"E004","Error condition E004","2024-02-25","2024-09-07"
"LOG00000250","2024-10-19","15:34:40",2024,3,"MACH00051","Machine 51","MODEL-9814","Conveyor","Fanuc","FAC03","Factory 3","LINE011","Assembly Line 11","41","36","5.8","43.93",7261,"22.33","Running","83.75","No","78.53",19,13,17,8253,"E005","Error condition E005","2024-01-11","2024-08-09"
"LOG00000251","2024-05-06","15:08:44",2024,10,"MACH00052","Machine 52","MODEL-1010","Robot Arm","KUKA","FAC04","Factory 4","LINE012","Assembly Line 12","62.3","47.9","4.23","3.49",553,"47.77","Idle","85.94","No","62.77",8,4,13,2340,"None","No errors","2024-05-24","2024-05-06"
"LOG00000252","2024-06-05","08:46:43",2024,2,"MACH00053","Machine 53","MODEL-8482","Welder","Bosch","FAC05","Factory 5","LINE013","Assembly Line 13","24.3","36.8","9.79","26.77",7826,"41.34","Maintenance","88.12","No","68.74",16,19,7,1242,"E001","Error condition E001","2024-03-21","2024-07-27"
"LOG00000253","2024-03-27","04:00:00",2024,10,"MACH00054","Machine 54","MODEL-7340","Drill","Mitsubishi","FAC06","Factory 6","LINE014","Assembly Line 14","35.7","77.8","1.46","1.18",6761,"10.83","Error","97.18","No","62.98",10,17,21,7261,"E002","Error condition E002","2024-06-11","2024-02-05"
"LOG00000254","2024-07-05","16:52:00",2024,9,"MACH00055","Machine 55","MODEL-4054","Lathe","Yaskawa","FAC07","Factory 7","LINE015","Assembly Line 15","34.3","46.8","7.72","49.49",5937,"2.11","Stopped","79.88","No","84.38",21,12,6,1873,"E003","Error condition E003","2024-03-14","2024-08-20"
"LOG00000255","2024-03-17","04:11:58",2024,7,"MACH00056","Machine 56","MODEL-1832","Compressor","Omron","FAC08","Factory 8","LINE016","Assembly Line 16","67.5","66.6","3.81","37.57",3492,"3.64","Running","69.24","Yes","66",24,15,7,1669,"E004","Error condition E004","2024-02-03","2024-02-25"
"LOG00000256","2024-04-10","03:31:31",2024,8,"MACH00057","Machine 57","MODEL-2110","CNC Machine","Siemens","FAC01","Factory 1","LINE017","Assembly Line 17","68.5","31.3","4.7","13.95",1905,"44.87","Idle","87.42","No","70.86",3,20,2,9207,"E005","Error condition E005","2024-06-27","2024-01-27"
"LOG00000257","2024-04-06","15:16:01",2024,3,"MACH00058","Machine 58","MODEL-5008","Hydraulic Press","ABB","FAC02","Factory 2","LINE018","Assembly Line 18","59.9","45.1","3.42","45.08",1908,"23.82","Maintenance","59.49","Yes","72.08",2,15,16,3892,"None","No errors","2024-11-27","2024-04-25"
"LOG00000258","2024-01-06","02:11:48",2024,9,"MACH00059","Machine 59","MODEL-8864","Conveyor","Fanuc","FAC03","Factory 3","LINE019","Assembly Line 19","35.6","69.6","9.61","38.86",6448,"10.28","Error","62.2","Yes","75.05",13,9,19,2911,"E001","Error condition E001","2024-10-16","2024-07-10"
"LOG00000259","2024-08-02","02:54:58",2024,1,"MACH00060","Machine 60","MODEL-5752","Robot Arm","KUKA","FAC04","Factory 4","LINE020","Assembly Line 20","72.9","51.6","6.49","17.43",3447,"1.38","Stopped","83.25","No","80.14",15,1,8,808,"E002","Error condition E002","2024-10-12","2024-05-15"
"LOG00000260","2024-01-15","09:00:56",2024,12,"MACH00061","Machine 61","MODEL-8302","Welder","Bosch","FAC05","Factory 5","LINE021","Assembly Line 21","39.7","61.7","7.54","32.63",721,"9.4","Running","61.39","Yes","80.75",3,21,2,6718,"E003","Error condition E003","2024-12-18","2024-08-09"
"LOG00000261","2024-12-24","05:47:39",2024,1,"MACH00062","Machine 62","MODEL-4560","Drill","Mitsubishi","FAC06","Factory 6","LINE022","Assembly Line 22","42.3","74.4","4.59","26.9",4581,"4.01","Idle","93.18","No","65.29",14,14,17,2474,"E004","Error condition E004","2024-04-24","2024-02-08"
"LOG00000262","2024-12-25","08:19:16",2024,12,"MACH00063","Machine 63","MODEL-8607","Lathe","Yaskawa","FAC07","Factory 7","LINE023","Assembly Line 23","74.4","58.5","8.72","17.92",8137,"41.83","Maintenance","53.32","Yes","65.41",0,3,12,1747,"E005","Error condition E005","2024-07-21","2024-10-15"
"LOG00000263","2024-09-27","12:46:12",2024,1,"MACH00064","Machine 64","MODEL-5497","Compressor","Omron","FAC08","Factory 8","LINE024","Assembly Line 24","44.3","66.3","9.28","9.16",5308,"26.41","Error","64.07","Yes","65.51",16,11,13,4671,"None","No errors","2024-07-03","2024-09-15"
"LOG00000264","2024-12-25","18:34:19",2024,7,"MACH00065","Machine 65","MODEL-5086","CNC Machine","Siemens","FAC01","Factory 1","LINE025","Assembly Line 25","58.3","53.9","8.62","20.62",6411,"43.04","Stopped","91.94","No","76.5",6,3,7,9339,"E001","Error condition E001","2024-06-15","2024-04-17"
"LOG00000265","2024-05-23","09:42:54",2024,5,"MACH00066","Machine 66","MODEL-4287","Hydraulic Press","ABB","FAC02","Factory 2","LINE026","Assembly Line 26","59.7","32.3","4.78","42.61",3081,"46.81","Running","93.2","No","93.92",2,18,11,8590,"E002","Error condition E002","2024-08-03","2024-01-17"
"LOG00000266","2024-12-17","22:49:38",2024,2,"MACH00067","Machine 67","MODEL-1202","Conveyor","Fanuc","FAC03","Factory 3","LINE027","Assembly Line 27","63.2","37.9","5.49","10.79",8207,"8.34","Idle","81.66","No","98.67",17,10,18,1062,"E003","Error condition E003","2024-11-25","2024-05-19"
"LOG00000267","2024-12-16","10:08:04",2024,6,"MACH00068","Machine 68","MODEL-1839","Robot Arm","KUKA","FAC04","Factory 4","LINE028","Assembly Line 28","47.1","47.3","8.62","0.4",3034,"45.59","Maintenance","93.57","No","66.37",14,2,5,2782,"E004","Error condition E004","2024-03-02","2024-05-12"
"LOG00000268","2024-04-15","16:59:52",2024,9,"MACH00069","Machine 69","MODEL-3721","Welder","Bosch","FAC05","Factory 5","LINE029","Assembly Line 29","52.2","71.9","1.32","11.17",1956,"32.17","Error","90.82","No","87.68",14,19,18,3777,"E005","Error condition E005","2024-05-09","2024-06-05"
"LOG00000269","2024-04-24","13:54:26",2024,2,"MACH00070","Machine 70","MODEL-4535","Drill","Mitsubishi","FAC06","Factory 6","LINE030","Assembly Line 30","62.7","34.6","4.8","9.26",8582,"7.54","Stopped","90.05","No","97.64",2,24,8,8469,"None","No errors","2024-06-26","2024-03-12"
"LOG00000270","2024-10-14","16:37:16",2024,3,"MACH00071","Machine 71","MODEL-9886","Lathe","Yaskawa","FAC07","Factory 7","LINE001","Assembly Line 1","51.2","44.9","1.41","33.93",9173,"22.55","Running","91.89","No","61.55",6,12,23,2959,"E001","Error condition E001","2024-11-02","2024-05-03"
"LOG00000271","2024-06-18","03:57:26",2024,2,"MACH00072","Machine 72","MODEL-4167","Compressor","Omron","FAC08","Factory 8","LINE002","Assembly Line 2","55.1","61.6","2.03","31.04",4636,"17.21","Idle","54.87","Yes","73.13",1,24,0,4619,"E002","Error condition E002","2024-05-23","2024-03-14"
"LOG00000272","2024-10-11","14:51:11",2024,10,"MACH00073","Machine 73","MODEL-8144","CNC Machine","Siemens","FAC01","Factory 1","LINE003","Assembly Line 3","61.9","58.9","1.86","15.53",7262,"36.18","Maintenance","82.92","No","93.97",12,18,24,7202,"E003","Error condition E003","2024-08-15","2024-03-15"
"LOG00000273","2024-05-17","05:28:59",2024,8,"MACH00074","Machine 74","MODEL-6043","Hydraulic Press","ABB","FAC02","Factory 2","LINE004","Assembly Line 4","40.3","33.2","4.18","46.35",3345,"16.85","Error","72.41","No","66.26",0,15,5,1417,"E004","Error condition E004","2024-04-09","2024-09-17"
"LOG00000274","2024-10-26","18:28:01",2024,8,"MACH00075","Machine 75","MODEL-6118","Conveyor","Fanuc","FAC03","Factory 3","LINE005","Assembly Line 5","43.6","46.2","8.73","3.58",5574,"6.23","Stopped","65.17","Yes","70.03",19,22,6,3665,"E005","Error condition E005","2024-05-02","2024-08-18"
"LOG00000275","2024-02-15","22:39:31",2024,3,"MACH00076","Machine 76","MODEL-9759","Robot Arm","KUKA","FAC04","Factory 4","LINE006","Assembly Line 6","32.8","71.6","2.13","29.7",8396,"31.21","Running","73.81","No","74.72",5,21,1,9741,"None","No errors","2024-12-05","2024-10-28"
"LOG00000276","2024-07-02","11:07:37",2024,2,"MACH00077","Machine 77","MODEL-6465","Welder","Bosch","FAC05","Factory 5","LINE007","Assembly Line 7","38.3","50.5","8.08","25.2",770,"33.31","Idle","71.3","No","75.23",24,8,15,7867,"E001","Error condition E001","2024-11-27","2024-11-08"
"LOG00000277","2024-07-01","02:57:08",2024,7,"MACH00078","Machine 78","MODEL-7098","Drill","Mitsubishi","FAC06","Factory 6","LINE008","Assembly Line 8","54","54.3","6.17","11.67",5800,"29.21","Maintenance","51.58","Yes","80.04",5,3,11,8869,"E002","Error condition E002","2024-03-13","2024-08-12"
"LOG00000278","2024-10-14","05:59:20",2024,9,"MACH00079","Machine 79","MODEL-6303","Lathe","Yaskawa","FAC07","Factory 7","LINE009","Assembly Line 9","49.6","66.9","6.19","46.55",4651,"38.79","Error","92.3","No","65.54",7,21,5,212,"E003","Error condition E003","2024-08-03","2024-06-03"
"LOG00000279","2024-03-05","18:48:02",2024,8,"MACH00080","Machine 80","MODEL-7609","Compressor","Omron","FAC08","Factory 8","LINE010","Assembly Line 10","48.6","74.9","8.92","37.58",3740,"24.42","Stopped","85.95","No","66.34",6,7,20,4773,"E004","Error condition E004","2024-06-11","2024-02-07"
