"inspection_id","inspection_date","inspection_time","year","month","order_id","product_id","product_name","batch_number","inspector_id","inspector_name","inspectordepartment","department","factory_id","factory_name","assembly_line_id","assembly_line_name","quantity_inspected","quantity_defective","defect_rate","sample_size","defect_type","defect_code","defect_severity","defect_description","dimension1","dimension2","weight","visual_quality","functional_test","inspection_status","inspection_result","rework_required","approved","approvedby","notes","photopath"
"INSP00000124","2024-12-15","11:13",2024,7,"ORD00000319","PROD000125","Product 125","BATCH00124","INS0025","Inspector 25","Quality Control","QC Department","FAC05","Factory 5","LINE005","Assembly Line 5",4333,67,"1.55",1781,"Missing Part","D005","None","Missing Part found in batch","54.77","87.23","28.06","Fair","Pass","Completed","Passed","No","Yes","Supervisor 5","Inspection completed - 1.55% defect rate","photo_INSP00000124.jpg"
"INSP00000125","2024-07-02","17:51",2024,5,"ORD00000052","PROD000126","Product 126","BATCH00125","INS0026","Inspector 26","Quality Control","QC Department","FAC06","Factory 6","LINE006","Assembly Line 6",9062,55,"0.61",835,"Malfunction","D006","Critical","Malfunction found in batch","59.36","50.07","15.65","Good","Fail","In Progress","Failed","Yes","No","null","Inspection completed - 0.61% defect rate","photo_INSP00000125.jpg"
"INSP00000126","2024-10-10","16:18",2024,3,"ORD00000201","PROD000127","Product 127","BATCH00126","INS0027","Inspector 27","Quality Control","QC Department","FAC07","Factory 7","LINE007","Assembly Line 7",8293,52,"0.63",7365,"Dimension Error","D007","Major","Dimension Error found in batch","66.66","64.19","17.01","Good","Fail","Pending","Conditional Pass","No","No","null","Inspection completed - 0.63% defect rate","photo_INSP00000126.jpg"
"INSP00000127","2024-11-16","09:26",2024,4,"ORD00000103","PROD000128","Product 128","BATCH00127","INS0028","Inspector 28","Quality Control","QC Department","FAC08","Factory 8","LINE008","Assembly Line 8",3667,65,"1.77",2960,"None","D000","Minor","None found in batch","78.74","47.32","17.06","Fair","Pass","On Hold","Pending","No","No","null","Inspection completed - 1.77% defect rate","photo_INSP00000127.jpg"
"INSP00000128","2024-08-01","16:55",2024,11,"ORD00000509","PROD000129","Product 129","BATCH00128","INS0029","Inspector 29","Quality Control","QC Department","FAC01","Factory 1","LINE009","Assembly Line 9",6610,26,"0.39",6491,"Crack","D001","Cosmetic","Crack found in batch","75.38","84.73","23.84","Poor","Pass","Completed","Passed","No","Yes","Supervisor 9","Inspection completed - 0.39% defect rate","photo_INSP00000128.jpg"
"INSP00000129","2024-01-08","10:32",2024,11,"ORD00000050","PROD000130","Product 130","BATCH00129","INS0030","Inspector 30","Quality Control","QC Department","FAC02","Factory 2","LINE010","Assembly Line 10",2277,8,"0.35",1496,"Dent","D002","None","Dent found in batch","67.52","33.3","22.85","Poor","Pass","In Progress","Failed","Yes","No","null","Inspection completed - 0.35% defect rate","photo_INSP00000129.jpg"
"INSP00000130","2024-01-05","15:03",2024,1,"ORD00000648","PROD000131","Product 131","BATCH00130","INS0031","Inspector 31","Quality Control","QC Department","FAC03","Factory 3","LINE011","Assembly Line 11",9852,37,"0.38",4764,"Discoloration","D003","Critical","Discoloration found in batch","17.42","30.63","34.92","Poor","Pass","Pending","Conditional Pass","No","No","null","Inspection completed - 0.38% defect rate","null"
"INSP00000131","2024-08-25","13:35",2024,4,"ORD00000654","PROD000132","Product 132","BATCH00131","INS0032","Inspector 32","Quality Control","QC Department","FAC04","Factory 4","LINE012","Assembly Line 12",2892,28,"0.97",998,"Misalignment","D004","Major","Misalignment found in batch","96.85","94.51","34.45","Poor","Pass","On Hold","Pending","No","No","null","Inspection completed - 0.97% defect rate","null"
"INSP00000132","2024-12-18","09:29",2024,8,"ORD00000048","PROD000133","Product 133","BATCH00132","INS0033","Inspector 33","Quality Control","QC Department","FAC05","Factory 5","LINE013","Assembly Line 13",212,29,"13.68",14,"Missing Part","D005","Minor","Missing Part found in batch","34.87","19.53","46.77","Poor","Fail","Completed","Passed","No","Yes","Supervisor 3","Inspection completed - 13.68% defect rate","photo_INSP00000132.jpg"
"INSP00000133","2024-03-21","14:49",2024,11,"ORD00000980","PROD000134","Product 134","BATCH00133","INS0034","Inspector 34","Quality Control","QC Department","FAC06","Factory 6","LINE014","Assembly Line 14",4988,42,"0.84",1408,"Malfunction","D006","Cosmetic","Malfunction found in batch","65.91","89.6","34.96","Fair","Fail","In Progress","Failed","Yes","No","null","Inspection completed - 0.84% defect rate","null"
"INSP00000134","2024-10-09","12:02",2024,5,"ORD00000350","PROD000135","Product 135","BATCH00134","INS0035","Inspector 35","Quality Control","QC Department","FAC07","Factory 7","LINE015","Assembly Line 15",1296,65,"5.02",204,"Dimension Error","D007","None","Dimension Error found in batch","87.65","77.99","29.91","Poor","Pass","Pending","Conditional Pass","No","No","null","Inspection completed - 5.02% defect rate","photo_INSP00000134.jpg"
"INSP00000135","2024-04-24","10:21",2024,6,"ORD00000235","PROD000136","Product 136","BATCH00135","INS0036","Inspector 36","Quality Control","QC Department","FAC08","Factory 8","LINE016","Assembly Line 16",8218,2,"0.02",3860,"None","D000","Critical","None found in batch","57.71","70.43","46.16","Poor","Pass","On Hold","Pending","No","No","null","Inspection completed - 0.02% defect rate","photo_INSP00000135.jpg"
"INSP00000136","2024-09-13","16:53",2024,4,"ORD00000806","PROD000137","Product 137","BATCH00136","INS0037","Inspector 37","Quality Control","QC Department","FAC01","Factory 1","LINE017","Assembly Line 17",8836,54,"0.61",2716,"Crack","D001","Major","Crack found in batch","10.17","83.74","45.28","Good","Pass","Completed","Passed","No","Yes","Supervisor 7","Inspection completed - 0.61% defect rate","photo_INSP00000136.jpg"
"INSP00000137","2024-08-02","15:05",2024,9,"ORD00000431","PROD000138","Product 138","BATCH00137","INS0038","Inspector 38","Quality Control","QC Department","FAC02","Factory 2","LINE018","Assembly Line 18",8048,50,"0.62",1140,"Dent","D002","Minor","Dent found in batch","82.66","32.21","22.92","Good","Fail","In Progress","Failed","Yes","No","null","Inspection completed - 0.62% defect rate","null"
"INSP00000138","2024-03-24","13:41",2024,1,"ORD00000019","PROD000139","Product 139","BATCH00138","INS0039","Inspector 39","Quality Control","QC Department","FAC03","Factory 3","LINE019","Assembly Line 19",2740,48,"1.75",384,"Discoloration","D003","Cosmetic","Discoloration found in batch","79.47","37.61","20.09","Fair","Fail","Pending","Conditional Pass","No","No","null","Inspection completed - 1.75% defect rate","photo_INSP00000138.jpg"
"INSP00000139","2024-12-11","09:02",2024,4,"ORD00000386","PROD000140","Product 140","BATCH00139","INS0040","Inspector 40","Quality Control","QC Department","FAC04","Factory 4","LINE020","Assembly Line 20",9787,8,"0.08",4782,"Misalignment","D004","None","Misalignment found in batch","97.81","85.7","24.13","Good","Fail","On Hold","Pending","No","No","null","Inspection completed - 0.08% defect rate","null"
"INSP00000140","2024-08-09","14:28",2024,1,"ORD00000424","PROD000141","Product 141","BATCH00140","INS0041","Inspector 41","Quality Control","QC Department","FAC05","Factory 5","LINE021","Assembly Line 21",226,32,"14.16",196,"Missing Part","D005","Critical","Missing Part found in batch","37.56","90.17","34.23","Good","Fail","Completed","Passed","No","Yes","Supervisor 1","Inspection completed - 14.16% defect rate","null"
"INSP00000141","2024-01-13","08:39",2024,5,"ORD00000959","PROD000142","Product 142","BATCH00141","INS0042","Inspector 42","Quality Control","QC Department","FAC06","Factory 6","LINE022","Assembly Line 22",6297,87,"1.38",1411,"Malfunction","D006","Major","Malfunction found in batch","90.53","73.6","49.71","Good","Fail","In Progress","Failed","Yes","No","null","Inspection completed - 1.38% defect rate","photo_INSP00000141.jpg"
"INSP00000142","2024-11-26","10:25",2024,9,"ORD00000661","PROD000143","Product 143","BATCH00142","INS0043","Inspector 43","Quality Control","QC Department","FAC07","Factory 7","LINE023","Assembly Line 23",590,71,"12.03",183,"Dimension Error","D007","Minor","Dimension Error found in batch","50.65","68.53","13.56","Good","Fail","Pending","Conditional Pass","No","No","null","Inspection completed - 12.03% defect rate","null"
"INSP00000143","2024-06-10","12:01",2024,8,"ORD00000977","PROD000144","Product 144","BATCH00143","INS0044","Inspector 44","Quality Control","QC Department","FAC08","Factory 8","LINE024","Assembly Line 24",5867,60,"1.02",1644,"None","D000","Cosmetic","None found in batch","94.26","95.83","5.23","Good","Pass","On Hold","Pending","No","No","null","Inspection completed - 1.02% defect rate","photo_INSP00000143.jpg"
"INSP00000144","2024-06-20","17:49",2024,3,"ORD00000879","PROD000145","Product 145","BATCH00144","INS0045","Inspector 45","Quality Control","QC Department","FAC01","Factory 1","LINE025","Assembly Line 25",7939,23,"0.29",4143,"Crack","D001","None","Crack found in batch","23.5","89.54","10.46","Poor","Fail","Completed","Passed","No","Yes","Supervisor 5","Inspection completed - 0.29% defect rate","null"
"INSP00000145","2024-02-11","17:10",2024,10,"ORD00000907","PROD000146","Product 146","BATCH00145","INS0046","Inspector 46","Quality Control","QC Department","FAC02","Factory 2","LINE026","Assembly Line 26",6009,47,"0.78",5734,"Dent","D002","Critical","Dent found in batch","37.15","67.81","41.85","Poor","Pass","In Progress","Failed","Yes","No","null","Inspection completed - 0.78% defect rate","null"
"INSP00000146","2024-06-08","15:24",2024,8,"ORD00000599","PROD000147","Product 147","BATCH00146","INS0047","Inspector 47","Quality Control","QC Department","FAC03","Factory 3","LINE027","Assembly Line 27",6152,30,"0.49",6057,"Discoloration","D003","Major","Discoloration found in batch","14.99","21.66","6.97","Good","Pass","Pending","Conditional Pass","No","No","null","Inspection completed - 0.49% defect rate","photo_INSP00000146.jpg"
"INSP00000147","2024-12-01","12:27",2024,11,"ORD00000435","PROD000148","Product 148","BATCH00147","INS0048","Inspector 48","Quality Control","QC Department","FAC04","Factory 4","LINE028","Assembly Line 28",4673,94,"2.01",3464,"Misalignment","D004","Minor","Misalignment found in batch","72.49","96.02","42.23","Good","Fail","On Hold","Pending","No","No","null","Inspection completed - 2.01% defect rate","null"
"INSP00000148","2024-10-09","13:49",2024,5,"ORD00000916","PROD000149","Product 149","BATCH00148","INS0049","Inspector 49","Quality Control","QC Department","FAC05","Factory 5","LINE029","Assembly Line 29",7603,43,"0.57",4141,"Missing Part","D005","Cosmetic","Missing Part found in batch","60.88","37.82","39.47","Poor","Pass","Completed","Passed","No","Yes","Supervisor 9","Inspection completed - 0.57% defect rate","photo_INSP00000148.jpg"
"INSP00000149","2024-02-06","08:42",2024,5,"ORD00000074","PROD000150","Product 150","BATCH00149","INS0050","Inspector 50","Quality Control","QC Department","FAC06","Factory 6","LINE030","Assembly Line 30",4243,94,"2.22",2916,"Malfunction","D006","None","Malfunction found in batch","17.35","42.73","21.75","Poor","Pass","In Progress","Failed","Yes","No","null","Inspection completed - 2.22% defect rate","photo_INSP00000149.jpg"
"INSP00000150","2024-12-21","11:49",2024,8,"ORD00000442","PROD000001","Product 1","BATCH00150","INS0001","Inspector 1","Quality Control","QC Department","FAC07","Factory 7","LINE001","Assembly Line 1",5865,7,"0.12",5638,"Dimension Error","D007","Critical","Dimension Error found in batch","92.8","67.47","17.23","Poor","Pass","Pending","Conditional Pass","No","No","null","Inspection completed - 0.12% defect rate","photo_INSP00000150.jpg"
"INSP00000151","2024-03-13","08:13",2024,7,"ORD00000023","PROD000002","Product 2","BATCH00151","INS0002","Inspector 2","Quality Control","QC Department","FAC08","Factory 8","LINE002","Assembly Line 2",7860,73,"0.93",4644,"None","D000","Major","None found in batch","88.63","48.26","38.26","Good","Fail","On Hold","Pending","No","No","null","Inspection completed - 0.93% defect rate","null"
"INSP00000152","2024-05-04","12:41",2024,5,"ORD00000635","PROD000003","Product 3","BATCH00152","INS0003","Inspector 3","Quality Control","QC Department","FAC01","Factory 1","LINE003","Assembly Line 3",7565,65,"0.86",1042,"Crack","D001","Minor","Crack found in batch","24.84","14.77","21.47","Poor","Fail","Completed","Passed","No","Yes","Supervisor 3","Inspection completed - 0.86% defect rate","photo_INSP00000152.jpg"
"INSP00000153","2024-01-04","17:07",2024,11,"ORD00000787","PROD000004","Product 4","BATCH00153","INS0004","Inspector 4","Quality Control","QC Department","FAC02","Factory 2","LINE004","Assembly Line 4",8673,15,"0.17",4808,"Dent","D002","Cosmetic","Dent found in batch","16.17","88.48","25.91","Fair","Pass","In Progress","Failed","Yes","No","null","Inspection completed - 0.17% defect rate","null"
"INSP00000154","2024-05-22","11:37",2024,11,"ORD00000481","PROD000005","Product 5","BATCH00154","INS0005","Inspector 5","Quality Control","QC Department","FAC03","Factory 3","LINE005","Assembly Line 5",7425,78,"1.05",2936,"Discoloration","D003","None","Discoloration found in batch","33.94","82.77","27.31","Good","Pass","Pending","Conditional Pass","No","No","null","Inspection completed - 1.05% defect rate","photo_INSP00000154.jpg"
"INSP00000155","2024-09-22","EIGHT:twentyFour",2024,11,"ORD00000359","PROD000006","Product 6","BATCH00155","INS0006","Inspector 6","Quality Control","QC Department","FAC04","Factory 4","LINE006","Assembly Line 6",6739,56,"0.83",1125,"Misalignment","D004","Critical","Misalignment found in batch","27.4","33.04","36.2","Good","Fail","On Hold","Pending","No","No","null","Inspection completed - 0.83% defect rate","null"
"INSP00000156","2024-05-11","09:31",2024,4,"ORD00000804","PROD000007","Product 7","BATCH00156","INS0007","Inspector 7","Quality Control","QC Department","FAC05","Factory 5","LINE007","Assembly Line 7",7013,26,"0.37",6993,"Missing Part","D005","Major","Missing Part found in batch","33.55","42.52","9.63","Fair","Fail","Completed","Passed","No","Yes","Supervisor 7","Inspection completed - 0.37% defect rate","photo_INSP00000156.jpg"
"INSP00000157","2024-04-15","08:52",2024,1,"ORD00000993","PROD000008","Product 8","BATCH00157","INS0008","Inspector 8","Quality Control","QC Department","FAC06","Factory 6","LINE008","Assembly Line 8",6074,89,"1.47",596,"Malfunction","D006","Minor","Malfunction found in batch","93.02","42.76","26.8","Good","Fail","In Progress","Failed","Yes","No","null","Inspection completed - 1.47% defect rate","null"
"INSP00000158","2024-07-26","11:29",2024,10,"ORD00000631","PROD000009","Product 9","BATCH00158","INS0009","Inspector 9","Quality Control","QC Department","FAC07","Factory 7","LINE009","Assembly Line 9",934,48,"5.14",564,"Dimension Error","D007","Cosmetic","Dimension Error found in batch","23.78","99.16","46.19","Good","Fail","Pending","Conditional Pass","No","No","null","Inspection completed - 5.14% defect rate","null"
"INSP00000159","2024-04-06","15:45",2024,6,"ORD00000527","PROD000010","Product 10","BATCH00159","INS0010","Inspector 10","Quality Control","QC Department","FAC08","Factory 8","LINE010","Assembly Line 10",1102,75,"6.81",1045,"None","D000","None","None found in batch","29.46","93.22","38.18","Good","Fail","On Hold","Pending","No","No","null","Inspection completed - 6.81% defect rate","photo_INSP00000159.jpg"
"INSP00000160","2024-05-02","15:54",2024,1,"ORD00000934","PROD000011","Product 11","BATCH00160","INS0011","Inspector 11","Quality Control","QC Department","FAC01","Factory 1","LINE011","Assembly Line 11",2400,88,"3.67",595,"Crack","D001","Critical","Crack found in batch","58.22","45.8","23.32","Good","Fail","Completed","Passed","No","Yes","Supervisor 1","Inspection completed - 3.67% defect rate","null"
"INSP00000161","2024-12-20","15:59",2024,4,"ORD00000615","PROD000012","Product 12","BATCH00161","INS0012","Inspector 12","Quality Control","QC Department","FAC02","Factory 2","LINE012","Assembly Line 12",7759,24,"0.31",6071,"Dent","D002","Major","Dent found in batch","45.98","93.3","21.97","Good","Fail","In Progress","Failed","Yes","No","null","Inspection completed - 0.31% defect rate","null"
"INSP00000162","2024-01-26","13:57",2024,9,"ORD00000400","PROD000013","Product 13","BATCH00162","INS0013","Inspector 13","Quality Control","QC Department","FAC03","Factory 3","LINE013","Assembly Line 13",1048,94,"8.97",845,"Discoloration","D003","Minor","Discoloration found in batch","45.96","51.36","19.41","Poor","Fail","Pending","Conditional Pass","No","No","null","Inspection completed - 8.97% defect rate","photo_INSP00000162.jpg"
"INSP00000163","2024-02-13","10:25",2024,10,"ORD00000946","PROD000014","Product 14","BATCH00163","INS0014","Inspector 14","Quality Control","QC Department","FAC04","Factory 4","LINE014","Assembly Line 14",1887,21,"1.11",900,"Misalignment","D004","Cosmetic","Misalignment found in batch","46.09","87.59","4.15","Good","Fail","On Hold","Pending","No","No","null","Inspection completed - 1.11% defect rate","null"
"INSP00000164","2024-11-01","17:10",2024,3,"ORD00000572","PROD000015","Product 15","BATCH00164","INS0015","Inspector 15","Quality Control","QC Department","FAC05","Factory 5","LINE015","Assembly Line 15",2850,5,"0.18",103,"Missing Part","D005","None","Missing Part found in batch","75.68","55.9","26.18","Good","Pass","Completed","Passed","No","Yes","Supervisor 5","Inspection completed - 0.18% defect rate","photo_INSP00000164.jpg"
"INSP00000165","2024-09-17","14:24",2024,10,"ORD00000705","PROD000016","Product 16","BATCH00165","INS0016","Inspector 16","Quality Control","QC Department","FAC06","Factory 6","LINE016","Assembly Line 16",9945,68,"0.68",1240,"Malfunction","D006","Critical","Malfunction found in batch","25.8","57.63","15.33","Good","Pass","In Progress","Failed","Yes","No","null","Inspection completed - 0.68% defect rate","null"
"INSP00000166","2024-02-28","10:47",2024,9,"ORD00000030","PROD000017","Product 17","BATCH00166","INS0017","Inspector 17","Quality Control","QC Department","FAC07","Factory 7","LINE017","Assembly Line 17",1928,83,"4.3",98,"Dimension Error","D007","Major","Dimension Error found in batch","85.75","93.92","30.43","Fair","Pass","Pending","Conditional Pass","No","No","null","Inspection completed - 4.3% defect rate","photo_INSP00000166.jpg"
"INSP00000167","2024-02-24","16:34",2024,8,"ORD00000601","PROD000018","Product 18","BATCH00167","INS0018","Inspector 18","Quality Control","QC Department","FAC08","Factory 8","LINE018","Assembly Line 18",7918,54,"0.68",7118,"None","D000","Minor","None found in batch","11.51","53.6","23.7","Fair","Fail","On Hold","Pending","No","No","null","Inspection completed - 0.68% defect rate","photo_INSP00000167.jpg"
"INSP00000168","2024-09-14","15:59",2024,1,"ORD00000777","PROD000019","Product 19","BATCH00168","INS0019","Inspector 19","Quality Control","QC Department","FAC01","Factory 1","LINE019","Assembly Line 19",3959,50,"1.26",3145,"Crack","D001","Cosmetic","Crack found in batch","27.87","87.48","3.52","Poor","Pass","Completed","Passed","No","Yes","Supervisor 9","Inspection completed - 1.26% defect rate","null"
"INSP00000169","2024-09-06","17:05",2024,3,"ORD00000173","PROD000020","Product 20","BATCH00169","INS0020","Inspector 20","Quality Control","QC Department","FAC02","Factory 2","LINE020","Assembly Line 20",3238,16,"0.49",2744,"Dent","D002","None","Dent found in batch","64.07","71.34","40.56","Fair","Pass","In Progress","Failed","Yes","No","null","Inspection completed - 0.49% defect rate","null"
"INSP00000170","2024-01-03","09:46",2024,12,"ORD00000833","PROD000021","Product 21","BATCH00170","INS0021","Inspector 21","Quality Control","QC Department","FAC03","Factory 3","LINE021","Assembly Line 21",9697,35,"0.36",8959,"Discoloration","D003","Critical","Discoloration found in batch","59.98","75.2","42.53","Good","Fail","Pending","Conditional Pass","No","No","null","Inspection completed - 0.36% defect rate","null"
"INSP00000171","2024-10-20","12:31",2024,8,"ORD00000615","PROD000022","Product 22","BATCH00171","INS0022","Inspector 22","Quality Control","QC Department","FAC04","Factory 4","LINE022","Assembly Line 22",336,62,"18.45",97,"Misalignment","D004","Major","Misalignment found in batch","77.82","15.89","13.84","Fair","Pass","On Hold","Pending","No","No","null","Inspection completed - 18.45% defect rate","photo_INSP00000171.jpg"
"INSP00000172","2024-10-17","11:01",2024,8,"ORD00000769","PROD000023","Product 23","BATCH00172","INS0023","Inspector 23","Quality Control","QC Department","FAC05","Factory 5","LINE023","Assembly Line 23",1062,84,"7.91",972,"Missing Part","D005","Minor","Missing Part found in batch","23.48","82.83","21.41","Good","Pass","Completed","Passed","No","Yes","Supervisor 3","Inspection completed - 7.91% defect rate","null"
"INSP00000173","2024-07-13","14:39",2024,11,"ORD00000175","PROD000024","Product 24","BATCH00173","INS0024","Inspector 24","Quality Control","QC Department","FAC06","Factory 6","LINE024","Assembly Line 24",900,63,"7",564,"Malfunction","D006","Cosmetic","Malfunction found in batch","75.88","57.9","27.45","Poor","Fail","In Progress","Failed","Yes","No","null","Inspection completed - 7.0% defect rate","null"
"INSP00000174","2024-05-17","13:15",2024,1,"ORD00000329","PROD000025","Product 25","BATCH00174","INS0025","Inspector 25","Quality Control","QC Department","FAC07","Factory 7","LINE025","Assembly Line 25",5597,56,"1",3217,"Dimension Error","D007","None","Dimension Error found in batch","98.03","66.4","16.81","Good","Fail","Pending","Conditional Pass","No","No","null","Inspection completed - 1.0% defect rate","photo_INSP00000174.jpg"
"INSP00000175","2024-09-06","15:37",2024,7,"ORD00000516","PROD000026","Product 26","BATCH00175","INS0026","Inspector 26","Quality Control","QC Department","FAC08","Factory 8","LINE026","Assembly Line 26",4363,30,"0.69",130,"None","D000","Critical","None found in batch","70.45","71.06","40.47","Fair","Pass","On Hold","Pending","No","No","null","Inspection completed - 0.69% defect rate","photo_INSP00000175.jpg"
"INSP00000176","2024-02-04","17:54",2024,9,"ORD00000489","PROD000027","Product 27","BATCH00176","INS0027","Inspector 27","Quality Control","QC Department","FAC01","Factory 1","LINE027","Assembly Line 27",9616,29,"0.3",5952,"Crack","D001","Major","Crack found in batch","31.15","14.78","2.8","Good","Pass","Completed","Passed","No","Yes","Supervisor 7","Inspection completed - 0.3% defect rate","photo_INSP00000176.jpg"
"INSP00000177","2024-10-21","13:07",2024,12,"ORD00000027","PROD000028","Product 28","BATCH00177","INS0028","Inspector 28","Quality Control","QC Department","FAC02","Factory 2","LINE028","Assembly Line 28",8778,85,"0.97",1055,"Dent","D002","Minor","Dent found in batch","52.7","30.38","16.84","Good","Fail","In Progress","Failed","Yes","No","null","Inspection completed - 0.97% defect rate","null"
"INSP00000178","2024-12-15","09:55",2024,3,"ORD00000152","PROD000029","Product 29","BATCH00178","INS0029","Inspector 29","null","QC Department","FAC03","Factory 3","LINE029","Assembly Line 29",5023,9,"0.18",948,"Discoloration","D003","Cosmetic","Discoloration found in batch","94.84","65.03","8.15","Poor","Pass","Pending","Conditional Pass","No","No","null","Inspection completed - 0.18% defect rate","null"
"INSP00000179","2024-07-20","11:49",2024,10,"ORD00000146","PROD000030","Product 30","BATCH00179","INS0030","Inspector 30","Quality Control","QC Department","FAC04","Factory 4","LINE030","Assembly Line 30",5360,69,"1.29",4610,"Misalignment","D004","None","Misalignment found in batch","77.4","26.8","48.39","Good","Pass","On Hold","Pending","No","No","null","Inspection completed - 1.29% defect rate","photo_INSP00000179.jpg"
"INSP00000180","2024-03-07","11:39",2024,3,"ORD00000859","PROD000031","Product 31","BATCH00180","INS0031","Inspector 31","Quality Control","QC Department","FAC05","Factory 5","LINE001","Assembly Line 1",4181,55,"1.32",1064,"Missing Part","D005","Critical","Missing Part found in batch","93.38","40.61","47.44","Fair","Pass","Completed","Passed","No","Yes","Supervisor 1","Inspection completed - 1.32% defect rate","null"
"INSP00000181","2024-08-07","16:58",2024,10,"ORD00000519","PROD000032","Product 32","BATCH00181","INS0032","Inspector 32","Quality Control","QC Department","FAC06","Factory 6","LINE002","Assembly Line 2",9424,67,"0.71",3508,"Malfunction","D006","Major","Malfunction found in batch","56.85","40.62","37.15","Good","Fail","In Progress","Failed","Yes","No","null","Inspection completed - 0.71% defect rate","null"
"INSP00000182","2024-03-16","17:18",2024,1,"ORD00000757","PROD000033","Product 33","BATCH00182","INS0033","Inspector 33","Quality Control","QC Department","FAC07","Factory 7","LINE003","Assembly Line 3",6979,17,"0.24",4025,"Dimension Error","D007","Minor","Dimension Error found in batch","13.42","97.27","41.87","Fair","Fail","Pending","Conditional Pass","No","No","null","Inspection completed - 0.24% defect rate","null"
"INSP00000183","2024-07-04","10:14",2024,5,"ORD00000371","PROD000034","Product 34","BATCH00183","INS0034","Inspector 34","Quality Control","QC Department","FAC08","Factory 8","LINE004","Assembly Line 4",2991,42,"1.4",899,"None","D000","Cosmetic","None found in batch","34.18","24.24","48.06","Fair","Pass","On Hold","Pending","No","No","null","Inspection completed - 1.4% defect rate","photo_INSP00000183.jpg"
"INSP00000184","2024-12-16","16:24",2024,12,"ORD00000985","PROD000035","Product 35","BATCH00184","INS0035","Inspector 35","null","QC Department","FAC01","Factory 1","LINE005","Assembly Line 5",3744,100,"2.67",1485,"Crack","D001","None","Crack found in batch","34.92","92.66","40.39","Good","Fail","Completed","Passed","No","Yes","Supervisor 5","Inspection completed - 2.67% defect rate","photo_INSP00000184.jpg"
"INSP00000185","2024-07-12","09:13",2024,9,"ORD00000578","PROD000036","Product 36","BATCH00185","INS0036","Inspector 36","Quality Control","QC Department","FAC02","Factory 2","LINE006","Assembly Line 6",130,26,"20",90,"Dent","D002","Critical","Dent found in batch","76.59","25.17","49.44","Fair","Pass","In Progress","Failed","Yes","No","null","Inspection completed - 20.0% defect rate","photo_INSP00000185.jpg"
"INSP00000186","2024-02-31","14:48",2024,4,"ORD00000734","PROD000037","Product 37","BATCH00186","INS0037","Inspector 37","Quality Control","QC Department","FAC03","Factory 3","LINE007","Assembly Line 7",3297,25,"0.76",1381,"Discoloration","D003","Major","Discoloration found in batch","12.99","13.18","41.61","Fair","Pass","Pending","Conditional Pass","No","No","null","Inspection completed - 0.76% defect rate","null"
"INSP00000187","2024-06-26","12:25",2024,3,"ORD00000040","PROD000038","Product 38","BATCH00187","INS0038","Inspector 38","Quality Control","QC Department","FAC04","Factory 4","LINE008","Assembly Line 8",8721,33,"0.38",4021,"Misalignment","D004","Minor","Misalignment found in batch","42.72","38.26","11.49","Fair","Pass","On Hold","Pending","No","No","null","Inspection completed - 0.38% defect rate","null"
"INSP00000188","2024-01-04","10:49",2024,10,"ORD00000805","PROD000039","Product 39","BATCH00188","INS0039","Inspector 39","Quality Control","QC Department","FAC05","Factory 5","LINE009","Assembly Line 9",5351,92,"1.72",2937,"Missing Part","D005","Cosmetic","Missing Part found in batch","15.31","28.37","25","Poor","Pass","Completed","Passed","No","Yes","Supervisor 9","Inspection completed - 1.72% defect rate","null"
"INSP00000189","2024-05-23","15:42",2024,4,"ORD00000166","PROD000040","Product 40","BATCH00189","INS0040","Inspector 40","Quality Control","QC Department","FAC06","Factory 6","LINE010","Assembly Line 10",6906,62,"0.9",4236,"Malfunction","D006","None","Malfunction found in batch","67.13","83.87","36.25","Good","Fail","In Progress","Failed","Yes","No","null","Inspection completed - 0.9% defect rate","photo_INSP00000189.jpg"
"INSP00000190","2024-08-17","14:09",2024,2,"ORD00000624","PROD000041","Product 41","BATCH00190","INS0041","Inspector 41","Quality Control","QC Department","FAC07","Factory 7","LINE011","Assembly Line 11",2923,82,"2.81",1068,"Dimension Error","D007","Critical","Dimension Error found in batch","79.84","14.3","1.41","Fair","Pass","Pending","Conditional Pass","No","No","null","Inspection completed - 2.81% defect rate","null"
"INSP00000191","2024-08-16","14:30",2024,9,"ORD00000720","PROD000042","Product 42","BATCH00191","INS0042","Inspector 42","Quality Control","QC Department","FAC08","Factory 8","LINE012","Assembly Line 12",9496,25,"0.26",868,"None","D000","Major","None found in batch","90.57","67.31","18.24","Good","Pass","On Hold","Pending","No","No","null","Inspection completed - 0.26% defect rate","null"
"INSP00000192","2024-03-28","10:50",2024,12,"ORD00000655","PROD000043","Product 43","BATCH00192","INS0043","Inspector 43","Quality Control","QC Department","FAC01","Factory 1","LINE013","Assembly Line 13",3020,35,"1.16",2280,"Crack","D001","Minor","Crack found in batch","58.22","15.7","18.76","Good","Pass","Completed","Passed","No","Yes","Supervisor 3","Inspection completed - 1.16% defect rate","null"
"INSP00000193","2024-08-06","11:09",2024,12,"ORD00000018","PROD000044","Product 44","BATCH00193","INS0044","Inspector 44","Quality Control","QC Department","FAC02","Factory 2","LINE014","Assembly Line 14",7027,13,"0.19",180,"Dent","D002","Cosmetic","Dent found in batch","82.45","45.35","48.22","Poor","Pass","In Progress","Failed","Yes","No","null","Inspection completed - 0.19% defect rate","photo_INSP00000193.jpg"
